gunshot100% waist100%
7.2 0.4344
7.6 0.4954
7.96 0.5962
9.96 0.5611
8.6 0.5526
10.24 0.5848
10.48 0.6012
10.68 0.6247
7.0 0.3336
7.4 0.4438
7.6 0.4836
7.96 0.5725
8.44 0.4958
8.76 0.5535
15.6 0.4594
10.6 0.6115
10.68 0.6075
7.16 0.3445
7.4 0.4073
7.76 0.4957
8.12 0.4285
8.6 0.5182
10.28 0.5586
10.48 0.5604
10.64 0.5828
10.72 0.6035
7.08 0.2658
7.28 0.3364
7.64 0.4643
8.48 0.4515
10.28 0.5005
10.48 0.5169
10.56 0.527
10.6 0.5589
10.88 0.5617
7.16 0.264
7.44 0.3576
8.16 0.3596
8.16 0.3486
8.56 0.4611
10.52 0.5033
10.68 0.5512
10.76 0.5536
10.92 0.5517
6.96 0.174
7.24 0.2717
7.88 0.4289
8.24 0.3871
10.36 0.4399
10.4 0.4626
10.56 0.4702
10.84 0.5139
10.96 0.5387
7.08 0.1855
7.48 0.2866
7.72 0.3706
8.6 0.381
8.56 0.3538
10.64 0.4459
10.8 0.4703
11.04 0.5193
11.0 0.5202
7.2 0.1859
7.56 0.2959
7.88 0.382
8.08 0.2311
8.6 0.373
10.8 0.4634
10.88 0.4752
10.92 0.4697
11.16 0.5151
7.32 0.1833
7.24 0.185
7.64 0.2994
8.16 0.2415
8.84 0.3709
8.84 0.3717
11.04 0.4881
11.12 0.4939
11.24 0.5114
6.32 0.6052
6.68 0.6517
6.96 0.6865
7.32 0.7346
18.64 0.7304
17.88 0.6651
17.64 0.7184
9.56 0.7368
18.92 0.7466
6.4 0.5886
6.72 0.6231
7.08 0.6803
7.44 0.7289
17.16 0.6572
18.12 0.6597
18.04 0.7363
18.2 0.7187
18.28 0.7614
6.44 0.5558
6.8 0.607
7.16 0.6571
7.48 0.7018
7.88 0.6632
17.56 0.6995
18.96 0.6502
18.68 0.7138
18.68 0.7509
6.56 0.5444
6.88 0.6035
7.2 0.6427
7.56 0.7014
16.8 0.6385
